txn_id,settlement_id,status,match_method,evidence,reason,timestamp
TXN1001,SET2001,MATCHED_LAYER1,exact_amount_merchant_date,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,Unique exact amount+merchant+date-window match.,2026-08-31T05:42:03.891525+00:00
TXN1002,SET2002,MATCHED_LAYER1,exact_amount_merchant_date,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,Unique exact amount+merchant+date-window match.,2026-08-31T05:42:03.891525+00:00
TXN1003,SET2003,MATCHED_LAYER1,exact_amount_merchant_date,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,Unique exact amount+merchant+date-window match.,2026-08-31T05:42:03.891525+00:00
TXN1004,SET2004,MATCHED_LAYER1,exact_amount_merchant_date,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,Unique exact amount+merchant+date-window match.,2026-08-31T05:42:03.891525+00:00
TXN1005,SET2005,MATCHED_LAYER1,exact_amount_merchant_date,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,Unique exact amount+merchant+date-window match.,2026-08-31T05:42:03.891525+00:00
TXN1006,SET2006,MATCHED_LAYER1,exact_amount_merchant_date,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,Unique exact amount+merchant+date-window match.,2026-08-31T05:42:03.891525+00:00
TXN1007,SET2007,MATCHED_LAYER1,exact_amount_merchant_date,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,Unique exact amount+merchant+date-window match.,2026-08-31T05:42:03.891525+00:00
TXN1008,SET2008,MATCHED_LAYER1,exact_amount_merchant_date,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,Unique exact amount+merchant+date-window match.,2026-08-31T05:42:03.891525+00:00
TXN1009,SET2009,MATCHED_LAYER1,exact_amount_merchant_date,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,Unique exact amount+merchant+date-window match.,2026-08-31T05:42:03.891525+00:00
TXN1010,SET2010,MATCHED_LAYER1,exact_amount_merchant_date,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,Unique exact amount+merchant+date-window match.,2026-08-31T05:42:03.891525+00:00
TXN1011,SET2011,MATCHED_LAYER1,exact_amount_merchant_date,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,Unique exact amount+merchant+date-window match.,2026-08-31T05:42:03.891525+00:00
TXN1012,SET2012,MATCHED_LAYER1,exact_amount_merchant_date,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,Unique exact amount+merchant+date-window match.,2026-08-31T05:42:03.891525+00:00
TXN1013,SET2013,MATCHED_LAYER1,exact_amount_merchant_date,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,Unique exact amount+merchant+date-window match.,2026-08-31T05:42:03.891525+00:00
TXN1014,SET2014,MATCHED_LAYER1,exact_amount_merchant_date,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,Unique exact amount+merchant+date-window match.,2026-08-31T05:42:03.891525+00:00
TXN1015,SET2015,MATCHED_LAYER1,exact_amount_merchant_date,Exact amount match; Exact merchant match; Settlement date +2 days; Unique candidate,Unique exact amount+merchant+date-window match.,2026-08-31T05:42:03.891525+00:00
TXN1016,,UNMATCHED_LAYER1,exact_amount_merchant_date,No exact amount+merchant match within date window,No unique deterministic candidate found.,2026-08-31T05:42:03.891525+00:00
TXN1017,,UNMATCHED_LAYER1,exact_amount_merchant_date,No exact amount+merchant match within date window,No unique deterministic candidate found.,2026-08-31T05:42:03.891525+00:00
TXN1018,,UNMATCHED_LAYER1,exact_amount_merchant_date,No exact amount+merchant match within date window,No unique deterministic candidate found.,2026-08-31T05:42:03.891525+00:00
TXN1019,,UNMATCHED_LAYER1,exact_amount_merchant_date,No exact amount+merchant match within date window,No unique deterministic candidate found.,2026-08-31T05:42:03.891525+00:00
TXN1020,,UNMATCHED_LAYER1,exact_amount_merchant_date,No exact amount+merchant match within date window,No unique deterministic candidate found.,2026-08-31T05:42:03.891525+00:00
TXN1021,,UNMATCHED_LAYER1,exact_amount_merchant_date,No exact amount+merchant match within date window,No unique deterministic candidate found.,2026-08-31T05:42:03.891525+00:00
TXN1022,,UNMATCHED_LAYER1,exact_amount_merchant_date,No exact amount+merchant match within date window,No unique deterministic candidate found.,2026-08-31T05:42:03.891525+00:00
TXN1023,,UNMATCHED_LAYER1,exact_amount_merchant_date,No exact amount+merchant match within date window,No unique deterministic candidate found.,2026-08-31T05:42:03.891525+00:00
TXN1024,,UNMATCHED_LAYER1,exact_amount_merchant_date,No exact amount+merchant match within date window,No unique deterministic candidate found.,2026-08-31T05:42:03.891525+00:00
TXN1025,,UNMATCHED_LAYER1,exact_amount_merchant_date,No exact amount+merchant match within date window,No unique deterministic candidate found.,2026-08-31T05:42:03.891525+00:00
TXN1026,,UNMATCHED_LAYER1,exact_amount_merchant_date,No exact amount+merchant match within date window,No unique deterministic candidate found.,2026-08-31T05:42:03.891525+00:00
TXN1027,,UNMATCHED_LAYER1,exact_amount_merchant_date,No exact amount+merchant match within date window,No unique deterministic candidate found.,2026-08-31T05:42:03.891525+00:00
TXN1028,,UNMATCHED_LAYER1,exact_amount_merchant_date,No exact amount+merchant match within date window,No unique deterministic candidate found.,2026-08-31T05:42:03.891525+00:00
TXN1029,,UNMATCHED_LAYER1,exact_amount_merchant_date,No exact amount+merchant match within date window,No unique deterministic candidate found.,2026-08-31T05:42:03.891525+00:00
TXN1030,,UNMATCHED_LAYER1,exact_amount_merchant_date,No exact amount+merchant match within date window,No unique deterministic candidate found.,2026-08-31T05:42:03.891525+00:00
TXN1031,,UNMATCHED_LAYER1,exact_amount_merchant_date,No exact amount+merchant match within date window,No unique deterministic candidate found.,2026-08-31T05:42:03.891525+00:00
TXN1032,,UNMATCHED_LAYER1,exact_amount_merchant_date,No exact amount+merchant match within date window,No unique deterministic candidate found.,2026-08-31T05:42:03.891525+00:00
TXN1033,,UNMATCHED_LAYER1,exact_amount_merchant_date,No exact amount+merchant match within date window,No unique deterministic candidate found.,2026-08-31T05:42:03.891525+00:00
TXN1034,,UNMATCHED_LAYER1,exact_amount_merchant_date,No exact amount+merchant match within date window,No unique deterministic candidate found.,2026-08-31T05:42:03.891525+00:00
TXN1035,,UNMATCHED_LAYER1,exact_amount_merchant_date,No exact amount+merchant match within date window,No unique deterministic candidate found.,2026-08-31T05:42:03.891525+00:00
TXN1036,,UNMATCHED_LAYER1,exact_amount_merchant_date,No exact amount+merchant match within date window,No unique deterministic candidate found.,2026-08-31T05:42:03.891525+00:00
TXN1037,,UNMATCHED_LAYER1,exact_amount_merchant_date,No exact amount+merchant match within date window,No unique deterministic candidate found.,2026-08-31T05:42:03.891525+00:00
